,PROFILE,X,Y,LONG,LAT,Z,S
2301,AY,-6487.5073992483185,-3517.382987554621,-58.27827052583251,-30.27479371876482,-560.6091494962923,1.0
2290,AX,-6402.4134235740285,-3517.265341452132,-57.513858336485406,-30.273876427378998,-565.3687969801008,1.0
2289,AX,-6416.2553755740155,-3506.6921886124915,-57.63820270692178,-30.191401792180212,-507.6140647555724,1.0
1133,AV,-6253.640287668528,-3504.4452500541543,-56.1774065179824,-30.173865812583564,-550.6925149435285,1.0
1152,AW,-6336.833675977055,-3504.4393260453967,-56.92474544053479,-30.17381957515572,-561.0589656010395,1.0
2300,AY,-6508.610183436042,-3501.278231200832,-58.46784006156559,-30.149143817162773,-505.4242814994568,1.0
1151,AW,-6346.548774403165,-3497.0194737556176,-57.0120176545638,-30.115889757988164,-540.6854158789138,1.0
2288,AX,-6441.11135671246,-3487.70598727642,-57.861487784506295,-30.043126972348958,-487.44380637633026,1.0
1150,AW,-6368.531704160591,-3480.230133643706,-57.20949367247202,-29.984681837362242,-510.3900304742184,1.0
2299,AY,-6536.378433224348,-3480.0866721518623,-58.71728649354642,-29.983559936204717,-488.5043350092048,1.0
1132,AV,-6287.454212796081,-3478.6143763901036,-56.48116217556393,-29.972045512123774,-510.1771069996903,1.0
1115,AU,-6213.714074304519,-3472.637631645599,-55.81874324096333,-29.925289179004302,-522.4676008920826,1.0
1149,AW,-6387.374215500165,-3465.8392705998117,-57.378758831747355,-29.87207832616094,-486.6805983272847,1.0
2287,AX,-6480.151027580633,-3457.8855972838214,-58.21218711478505,-29.809788420341526,-484.71897177828816,1.0
1114,AU,-6241.232259378712,-3451.5839239380007,-56.0659433033971,-29.7604084547375,-511.3061023699771,1.0
2298,AY,-6576.557591770299,-3449.4236301036362,-59.07822201579532,-29.743474712451548,-483.77263123144246,1.0
1131,AV,-6327.413701271103,-3448.0888312312763,-56.84012436799103,-29.73301027494973,-511.14167424895413,1.0
1148,AW,-6418.592411190511,-3441.996547591137,-57.65919665506007,-29.685234532166376,-480.05552433972196,1.0
2286,AX,-6518.812721825706,-3428.353924128693,-58.55949102328809,-29.578165750937096,-484.71897177828816,1.0
1130,AV,-6359.869885574305,-3423.2951524971263,-57.1316832322287,-29.538434766258245,-510.12900768361305,1.0
2297,AY,-6619.2433806661265,-3416.847633314715,-59.46167498159353,-29.487773859068064,-482.46428154211804,1.0
1113,AU,-6297.309139823089,-3408.680431325872,-56.56969049128638,-29.423563920015376,-511.14167327348434,1.0
1147,AW,-6463.505703117564,-3407.6942711416496,-58.06265962104201,-29.4158080245228,-480.40914075131855,1.0
1129,AV,-6383.219738551797,-3405.4579123642375,-57.341438530344945,-29.398217423879522,-486.8370343165359,1.0
1086,AT,-6215.641663998978,-3405.183680025856,-55.83605907380377,-29.396060173942082,-518.1067197614251,1.0
2285,AX,-6568.252700221451,-3390.589275908036,-59.00361790568247,-29.28118658695508,-482.4642816751549,1.0
2296,AY,-6655.739360240679,-3388.9954383762397,-59.78952394420088,-29.268633462505278,-481.51083057477985,1.0
1146,AW,-6501.1907257967105,-3378.9125450538613,-58.4011899395927,-29.189184142869642,-480.40914075131855,1.0
1085,AT,-6250.070447119699,-3378.8089310027854,-56.145338094713566,-29.188367380851123,-510.21588220515093,1.0
1112,AU,-6357.543585296567,-3362.5960545579737,-57.110785721279264,-29.06048470792847,-507.8710121416966,1.0
2284,AX,-6610.000840294694,-3358.7000260561713,-59.37864782879604,-29.029729989901284,-479.61814892869785,1.0
1145,AW,-6537.9112481492375,-3350.86745071627,-58.73105600429397,-28.96787269685466,-483.07997181698636,1.0
1128,AV,-6454.981324782031,-3350.638353237262,-57.98608382757776,-28.96606285051705,-481.7263317159891,1.0
